date,symbol,time_point,time_idx,output_name,value
2025-01-02,000690,09:31:00.000,0,output_1,708.0
2025-01-02,000690,09:40:00.000,1,output_1,867.0
2025-01-02,000690,09:50:00.000,2,output_1,669.0
2025-01-02,000690,10:00:00.000,3,output_1,611.0
2025-01-02,000690,10:10:00.000,4,output_1,911.0
2025-01-02,000690,10:20:00.000,5,output_1,738.0
2025-01-02,000690,10:30:00.000,6,output_1,689.0
2025-01-02,000690,10:40:00.000,7,output_1,454.0
2025-01-02,000690,10:50:00.000,8,output_1,288.0
2025-01-02,000690,11:00:00.000,9,output_1,255.0
2025-01-02,000690,11:10:00.000,10,output_1,197.0
2025-01-02,000690,11:20:00.000,11,output_1,279.0
2025-01-02,000690,11:30:05.000,12,output_1,291.0
2025-01-02,000690,13:10:00.000,13,output_1,519.0
2025-01-02,000690,13:20:00.000,14,output_1,400.0
2025-01-02,000690,13:30:00.000,15,output_1,491.0
2025-01-02,000690,13:40:00.000,16,output_1,571.0
2025-01-02,000690,13:50:00.000,17,output_1,514.0
2025-01-02,000690,14:00:00.000,18,output_1,748.0
2025-01-02,000690,14:10:00.000,19,output_1,356.0
2025-01-02,000690,14:20:00.000,20,output_1,625.0
2025-01-02,000690,14:30:00.000,21,output_1,711.0
2025-01-02,000690,14:40:00.000,22,output_1,423.0
2025-01-02,000690,14:50:00.000,23,output_1,747.0
2025-01-02,000690,14:56:00.000,24,output_1,482.0
2025-01-02,000690,14:57:05.000,25,output_1,73.0
2025-01-02,000690,15:05:00.000,26,output_1,125.0
2025-01-02,001389,09:31:00.000,0,output_1,446.0
2025-01-02,001389,09:40:00.000,1,output_1,1253.0
2025-01-02,001389,09:50:00.000,2,output_1,593.0
2025-01-02,001389,10:00:00.000,3,output_1,643.0
2025-01-02,001389,10:10:00.000,4,output_1,469.0
2025-01-02,001389,10:20:00.000,5,output_1,687.0
2025-01-02,001389,10:30:00.000,6,output_1,307.0
2025-01-02,001389,10:40:00.000,7,output_1,307.0
2025-01-02,001389,10:50:00.000,8,output_1,461.0
2025-01-02,001389,11:00:00.000,9,output_1,584.0
2025-01-02,001389,11:10:00.000,10,output_1,542.0
2025-01-02,001389,11:20:00.000,11,output_1,521.0
2025-01-02,001389,11:30:05.000,12,output_1,209.0
2025-01-02,001389,13:10:00.000,13,output_1,407.0
2025-01-02,001389,13:20:00.000,14,output_1,169.0
2025-01-02,001389,13:30:00.000,15,output_1,227.0
2025-01-02,001389,13:40:00.000,16,output_1,509.0
2025-01-02,001389,13:50:00.000,17,output_1,443.0
2025-01-02,001389,14:00:00.000,18,output_1,399.0
2025-01-02,001389,14:10:00.000,19,output_1,625.0
2025-01-02,001389,14:20:00.000,20,output_1,667.0
2025-01-02,001389,14:30:00.000,21,output_1,424.0
2025-01-02,001389,14:40:00.000,22,output_1,587.0
2025-01-02,001389,14:50:00.000,23,output_1,667.0
2025-01-02,001389,14:56:00.000,24,output_1,675.0
2025-01-02,001389,14:57:05.000,25,output_1,124.0
2025-01-02,001389,15:05:00.000,26,output_1,65.0
2025-01-02,002782,09:31:00.000,0,output_1,536.0
2025-01-02,002782,09:40:00.000,1,output_1,1921.0
2025-01-02,002782,09:50:00.000,2,output_1,943.0
2025-01-02,002782,10:00:00.000,3,output_1,780.0
2025-01-02,002782,10:10:00.000,4,output_1,529.0
2025-01-02,002782,10:20:00.000,5,output_1,579.0
2025-01-02,002782,10:30:00.000,6,output_1,564.0
2025-01-02,002782,10:40:00.000,7,output_1,648.0
2025-01-02,002782,10:50:00.000,8,output_1,1052.0
2025-01-02,002782,11:00:00.000,9,output_1,910.0
2025-01-02,002782,11:10:00.000,10,output_1,524.0
2025-01-02,002782,11:20:00.000,11,output_1,574.0
2025-01-02,002782,11:30:05.000,12,output_1,511.0
2025-01-02,002782,13:10:00.000,13,output_1,349.0
2025-01-02,002782,13:20:00.000,14,output_1,274.0
2025-01-02,002782,13:30:00.000,15,output_1,626.0
2025-01-02,002782,13:40:00.000,16,output_1,425.0
2025-01-02,002782,13:50:00.000,17,output_1,283.0
2025-01-02,002782,14:00:00.000,18,output_1,571.0
2025-01-02,002782,14:10:00.000,19,output_1,380.0
2025-01-02,002782,14:20:00.000,20,output_1,1235.0
2025-01-02,002782,14:30:00.000,21,output_1,780.0
2025-01-02,002782,14:40:00.000,22,output_1,786.0
2025-01-02,002782,14:50:00.000,23,output_1,1034.0
2025-01-02,002782,14:56:00.000,24,output_1,584.0
2025-01-02,002782,14:57:05.000,25,output_1,120.0
2025-01-02,002782,15:05:00.000,26,output_1,69.0
2025-01-02,002852,09:31:00.000,0,output_1,407.0
2025-01-02,002852,09:40:00.000,1,output_1,1370.0
